ক্ক,কক,⠈⠅⠅
ক্ট,কট,⠈⠅⠾
ক্ত,কত,⠈⠅⠞
ক্ব,কব,⠈⠅⠃
ক্ম,কম,⠈⠅⠍
ক্য,কয,⠈⠅⠽
ক্র,কর,⠈⠅⠗
ক্ল,কল,⠈⠅⠇
ক্ষ,কষ,⠈⠅⠯
ক্স,কস,⠈⠅⠎
খ্য,খয,⠈⠭⠽
খ্র,খর,⠈⠭⠗
গ্‌ণ,গণ,⠈⠛⠼
গ্ধ,গধ,⠈⠛⠮
গ্ন,গন,⠈⠛⠝
গ্ব,গব,⠈⠛⠃
গ্ম,গম,⠈⠛⠍
গ্য,গয,⠈⠛⠽
গ্র,গর,⠈⠛⠗
গ্ল,গল,⠈⠛⠇
ঘ্ন,ঘন,⠈⠣⠝
ঘ্য,ঘয,⠈⠣⠽
ঘ্র,ঘর,⠈⠣⠗
ঙ্ক,ঙক,⠈⠬⠅
ঙ্খ,ঙখ,⠈⠬⠭
ঙ্গ,ঙগ,⠈⠬⠛
ঙ্ঘ,ঙঘ,⠈⠬⠣
ঙ্ম,ঙম,⠈⠬⠍
চ্চ,চচ,⠈⠉⠉
চ্ছ,চছ,⠈⠉⠡
চ্ঞ,চঞ,⠈⠉⠒
চ্ব,চব,⠈⠉⠃
চ্য,চয,⠈⠉⠽
জ্জ,জজ,⠈⠚⠚
জ্ঝ,জঝ,⠈⠚⠵
জ্ঞ,জঞ,⠈⠚⠒
জ্ব,জব,⠈⠚⠃
জ্য,জয,⠈⠚⠽
জ্র,জর,⠈⠚⠗
ঞ্চ,ঞচ,⠈⠒⠉
ঞ্ছ,ঞছ,⠈⠒⠡
ঞ্জ,ঞজ,⠈⠒⠚
ঞ্ঝ,ঞঝ,⠈⠒⠵
ট্ট,টট,⠈⠾⠾
ট্ব,টব,⠈⠾⠃
ট্ম,টম,⠈⠾⠍
ট্য,টয,⠈⠾⠽
ট্র,টর,⠈⠾⠗
ড্ড,ডড,⠈⠫⠫
ড্ব,ডব,⠈⠫⠃
ড্য,ডয,⠈⠫⠽
ড্র,ডর,⠈⠫⠗
ড়্গ,ড়গ,⠈⠫
ঢ্য,ঢয,⠈⠿⠽
ঢ্র,ঢর,⠈⠿⠗
ণ্ট,ণট,⠈⠼⠾
ণ্ঠ,ণঠ,⠈⠼⠺
ণ্ড,ণড,⠈⠼⠫
ণ্ঢ,ণঢ,⠈⠼⠿
ণ্ণ,ণণ,⠈⠼⠼
ণ্ব,ণব,⠈⠼⠃
ণ্ম,ণম,⠈⠼⠍
ণ্য,ণয,⠈⠼⠽
ৎক,তক,⠈⠞⠅
ৎখ,তখ,⠈⠞⠭
ত্ত,তত,⠈⠞⠞
ত্থ,তথ,⠈⠞⠹
ত্ন,তন,⠈⠞⠝
ৎপ,তপ,⠈⠞⠏
ত্ব,তব,⠈⠞⠃
ত্ম,তম,⠈⠞⠍
ত্য,তয,⠈⠞⠽
ত্র,তর,⠈⠞⠗
ৎল,তল,⠈⠞⠇
ৎস,তস,⠈⠞⠎
থ্ব,থব,⠈⠹⠃
থ্য,থয,⠈⠹⠽
থ্র,থর,⠈⠹⠗
দ্গ,দগ,⠈⠙⠛
দ্ঘ,দঘ,⠈⠙⠣
দ্দ,দদ,⠈⠙⠙
দ্ধ,দধ,⠈⠙⠮
দ্ব,দব,⠈⠙⠃
দ্ভ,দভ,⠈⠙⠧
দ্ম,দম,⠈⠙⠍
দ্য,দয,⠈⠙⠽
দ্র,দর,⠈⠙⠗
ধ্ন,ধন,⠈⠮⠝
ধ্ব,ধব,⠈⠮⠃
ধ্ম,ধম,⠈⠮⠍
ধ্য,ধয,⠈⠮⠽
ধ্র,ধর,⠈⠮⠗
ন্ট,নট,⠈⠝⠾
ন্ঠ,নঠ,⠈⠝⠺
ন্ড,নড,⠈⠝⠫
ন্ত,নত,⠈⠝⠞
ন্থ,নথ,⠈⠝⠹
ন্দ,নদ,⠈⠝⠙
ন্ধ,নধ,⠈⠝⠮
ন্ন,নন,⠈⠝⠝
ন্ব,নব,⠈⠝⠃
ন্ম,নম,⠈⠝⠍
ন্য,নয,⠈⠝⠽
প্ট,পট,⠈⠏⠾
প্ত,পত,⠈⠏⠞
প্ন,পন,⠈⠏⠝
প্প,পপ,⠈⠏⠏
প্য,পয,⠈⠏⠽
প্র,পর,⠈⠏⠗
প্ল,পল,⠈⠏⠇
প্স,পস,⠈⠏⠎
ফ্র,ফর,⠈⠋⠗
ফ্ল,ফল,⠈⠋⠇
ব্জ,বজ,⠈⠃⠚
ব্দ,বদ,⠈⠃⠙
ব্ধ,বধ,⠈⠃⠮
ব্ব,বব,⠈⠃⠃
ব্য,বয,⠈⠃⠽
ব্র,বর,⠈⠃⠗
ব্ল,বল,⠈⠃⠇
ভ্ব =ভব,nan,⠈⠝⠁
ভ্য,ভয,⠈⠧⠽
ভ্র,ভর,⠈⠧⠗
ম্ন,মন,⠈⠍⠝
ম্প,মপ,⠈⠍⠏
ম্ফ,মফ,⠈⠍⠋
ম্ব,মব,⠈⠍⠃
ম্ভ,মভ,⠈⠍⠧
ম্ম,মম,⠈⠍⠍
ম্য,ময,⠈⠍⠽
ম্র,মর,⠈⠍⠗
ম্ল,মল,⠈⠍⠇
য্য,যয,⠈⠽⠽
র্ক,রক,⠈⠗⠅
র্খ,রখ,⠈⠗⠭
র্গ,রগ,⠈⠗⠛
র্ঘ,রঘ,⠈⠗⠣
র্চ,রচ,⠈⠗⠉
